id	aligned	de	it	fr
0	2	('2', '00:00:02,027 --> 00:00:06,480', 'Untertiteln von SWISS TXT * Drollige, erwartungsvolle Musik *')	('3', '00:00:45,110 --> 00:00:52,160', "ALL'IMPROVVISO, DUNANT SI TROVA IN MEZZO A UN CAMPO DI BATTAGLIA.")	
1	3	('3', '00:00:28,348 --> 00:00:32,040', 'Heute in "Helveticus": Henry Dunant und das Rote Kreuz.')	('2', '00:00:39,729 --> 00:00:44,400', "HENRI DUNANT VA A INCONTRARE L'IMPERATORE DI FRANCIA.")	('16', '00:01:48,990 --> 00:01:50,600', 'Henry Dunant a une idée.')
2	3	('4', '00:00:32,544 --> 00:00:38,720', 'Unsere Geschichte spielt im Jahr 1862 im italienischen Solferino und in Genf.')	('1', '00:00:31,874 --> 00:00:39,200', 'LA STORIA SI SVOLGE A SOLFERINO, IN ITALIA, E A GINEVRA NEL 1862.')	('2', '00:00:32,066 --> 00:00:36,920', '-Notre histoire se passe à Solferino, en Italie, et à Genève, en 1862.')
3	3	('7', '00:00:53,083 --> 00:00:55,000', 'Es hat viele Verwundete.')	('18', '00:02:38,499 --> 00:02:40,583', 'CI SONO TROPPI FERITI.')	('23', '00:02:38,436 --> 00:02:40,800', 'Il y a vraiment trop de blessés.')
4	3	('9', '00:00:58,761 --> 00:01:01,280', 'Aber hier braucht es einen Arzt.')	('5', '00:00:57,490 --> 00:01:00,240', 'CI VORREBBE UN MEDICO!')	('8', '00:01:00,070 --> 00:01:01,800', 'il faudrait un médecin !')
5	2	('10', '00:01:03,466 --> 00:01:08,960', 'Ein paar Soldaten haben noch gar nicht gemerkt, dass die Schlacht schon vorbei ist.')	('7', '00:01:05,629 --> 00:01:12,760', "ALCUNI SOLDATI NON HANNO ANCORA CAPITO CHE LA BATTAGLIA E' FINITA.")	
6	3	('11', '00:01:14,105 --> 00:01:18,519', 'In dieser schrecklichen Schlacht wurden sogar die Ärzte angeriffen.')	('8', '00:01:13,082 --> 00:01:17,480', 'IN QUESTA BATTAGLIA ANCHE I MEDICI SONO STATI COLPITI.')	('10', '00:01:12,873 --> 00:01:17,200', 'Dans la bataille, même les médecins ont été pris pour cible.')
7	3	('15', '00:01:31,655 --> 00:01:38,120', 'Henry Dunant denkt, dass ein ver- wundeter Soldat kein Soldat mehr ist, sondern einfach ein Mensch, der Hilfe braucht.')	('11', '00:01:30,803 --> 00:01:41,760', "PER DUNANT, UN SOLDATO FERITO E' UN UOMO DA CURARE, POCO IMPORTA IL SUO SCHIERAMENTO.")	('14', '00:01:30,752 --> 00:01:37,880', "Henry Dunant pense qu'un soldat blessé n'est plus un soldat, mais avant tout un homme à soigner.")
8	3	('17', '00:01:44,457 --> 00:01:46,680', 'Es hat einfach viel zu viele Verwundete.')	('18', '00:02:38,499 --> 00:02:40,583', 'CI SONO TROPPI FERITI.')	('23', '00:02:38,436 --> 00:02:40,800', 'Il y a vraiment trop de blessés.')
9	3	('18', '00:01:46,815 --> 00:01:49,919', 'Und unter diesen Umständen kann man sie nicht behandeln.')	('12', '00:01:42,284 --> 00:01:48,200', 'CI SONO TROPPI FERITI E NON POSSONO ESSERE CURATI IN QUELLE CONDIZIONI.')	('15', '00:01:44,464 --> 00:01:48,600', 'Les nombreux blessés ne peuvent être soignés dans ces conditions.')
10	3	('19', '00:01:50,074 --> 00:01:52,000', 'Henry Dunant hat eine Idee.')	('13', '00:01:49,086 --> 00:01:52,920', "HENRI DUNANT HA UN'IDEA.")	('16', '00:01:48,990 --> 00:01:50,600', 'Henry Dunant a une idée.')
11	3	('21', '00:01:59,092 --> 00:02:02,319', 'und sagt ihnen, dass sie als Krankenschwestern helfen sollen.')	('14', '00:01:54,036 --> 00:02:00,000', 'TORNA CON LE DONNE DEL PAESE: SARANNO LE INFERMIERE.')	('17', '00:01:55,025 --> 00:01:59,720', 'Il revient avec des femmes du village, qui seront les infirmières.')
12	3	('24', '00:02:18,742 --> 00:02:20,600', 'So ist es gut.')	('20', '00:02:44,578 --> 00:02:48,720', 'QUESTA CHIESA SAREBBE UN PERFETTO OSPEDALE.')	('20', '00:02:18,833 --> 00:02:20,520', 'Ah, voilà qui est mieux.')
13	3	('25', '00:02:21,738 --> 00:02:24,800', 'Jetzt muss er alle Verwundeten in Sicherheit bringen.')	('15', '00:02:00,142 --> 00:02:06,800', 'DEVONO AIUTARE TUTTI I FERITI, QUALUNQUE SIA IL LORO SCHIERAMENTO.')	('21', '00:02:21,760 --> 00:02:25,920', "Maintenant, il faut amener tous ces blessés à l'abri.")
14	3	('29', '00:02:35,981 --> 00:02:36,800', 'Klackern *')	('0', '00:00:04,040 --> 00:00:26,320', '* * * * * * * * * * * *')	('9', '00:01:03,505 --> 00:01:05,200', 'Ah, en voilà un !')
15	3	('30', '00:02:39,135 --> 00:02:41,039', 'Es hat einfach zu viele Verwundete.')	('18', '00:02:38,499 --> 00:02:40,583', 'CI SONO TROPPI FERITI.')	('23', '00:02:38,436 --> 00:02:40,800', 'Il y a vraiment trop de blessés.')
16	3	('31', '00:02:41,780 --> 00:02:43,720', 'Er muss einen anderen Ort finden.')	('19', '00:02:40,782 --> 00:02:43,760', 'BISOGNA TROVARE UN ALTRO POSTO.')	('24', '00:02:41,191 --> 00:02:43,480', 'Il faut trouver un autre endroit.')
17	3	('33', '00:02:47,822 --> 00:02:51,720', 'Und so wurden dank Henry Dunant alle Verwundeten wieder gesund.')	('21', '00:02:49,437 --> 00:02:53,800', "COSI', GRAZIE A HENRI DUNANT, TUTTI I FERITI SONO CURATI.")	('26', '00:02:48,059 --> 00:02:51,840', 'Ainsi, grâce à Henry, tous les blessés sont soignés.')
18	3	('37', '00:03:13,185 --> 00:03:19,270', 'Henry Dunant schickte sein Buch allen wichtigen Leuten auf der Welt, und alle waren einverstanden:')	('24', '00:03:12,375 --> 00:03:21,800', 'HENRI DUNANT INVIA IL LIBRO ALLE PERSONE IMPORTANTI NEL MONDO E TUTTE SONO CON LUI: BISOGNA FARE QUALCOSA.')	('30', '00:03:13,550 --> 00:03:21,600', "Henry Dunant envoie son livre à toutes les personnes importantes du monde, et toutes sont d'accord : il faut agir.")
19	3	('38', '00:03:19,380 --> 00:03:21,080', 'Man muss unbedingt etwas machen.')	('19', '00:02:40,782 --> 00:02:43,760', 'BISOGNA TROVARE UN ALTRO POSTO.')	('29', '00:03:03,156 --> 00:03:06,320', 'Ils porteront un signe qui les distingue.')
20	3	('39', '00:03:22,190 --> 00:03:27,360', 'In Genf wird beschlossen, dass Henry Dunants Idee und Wunsch wahr werden sollen.')	('13', '00:01:49,086 --> 00:01:52,920', "HENRI DUNANT HA UN'IDEA.")	('16', '00:01:48,990 --> 00:01:50,600', 'Henry Dunant a une idée.')
21	3	('42', '00:03:33,258 --> 00:03:42,800', 'Vielleicht ist nicht alles genau so passiert, Aber noch heute ist bei einem Krieg oder einer anderen Katastrophe das Rote Kreuz da, um allen zu helfen, ganz egal, wem.')	('27', '00:03:32,521 --> 00:03:42,880', 'ANCORA OGGI, IN CASO DI CATASTROFE O GUERRA, LA CROCE ROSSA AIUTA LE VITTIME, SENZA DISCRIMINAZIONI.')	('33', '00:03:33,066 --> 00:03:42,880', "Tout ne s'est peut-être pas exactement passé comme ça, mais aujourd'hui encore, en cas de catastrophe ou de guerre, la Croix-Rouge est là.")
22	2	('1', '00:00:01,520 --> 00:00:01,856', '. Mit')		('1', '00:00:10,560 --> 00:00:31,680', '...')
23	2	('5', '00:00:39,304 --> 00:00:44,920', 'Das ist Henry Dunant, ein Geschäftsmann, der unterwegs ist, um mit dem französischen Kaiser zu reden.')		('3', '00:00:37,053 --> 00:00:44,010', "Nous voici avec Henry Dunant, un homme d'affaires qui part rencontrer l'empereur de France.")
24	2	('6', '00:00:46,705 --> 00:00:51,320', 'Kurz vor dem Ziel kommt Henry Dunant an ein schreckliches Schlachtfeld.')		('5', '00:00:50,155 --> 00:00:54,800', 'Henry Dunant se retrouve devant un horrible champ de bataille.')
25	2	('8', '00:00:55,140 --> 00:00:57,880', 'Aber niemand, um den armen Soldaten zu helfen.')		('6', '00:00:55,186 --> 00:00:59,318', 'Il y a beaucoup de blessés, et personne pour les soigner.')
26	2	('14', '00:01:28,600 --> 00:01:30,400', 'So gemein!')		('13', '00:01:28,059 --> 00:01:29,000', "C'est injuste !")
27	2	('20', '00:01:56,378 --> 00:01:58,960', 'Er kommt mit allen Frauen aus dem Dorf zurück')		('17', '00:01:55,025 --> 00:01:59,720', 'Il revient avec des femmes du village, qui seront les infirmières.')
28	2	('23', '00:02:11,883 --> 00:02:16,800', 'Er sagte, allen helfen, den blauen und den weissen Soldaten.')		('19', '00:02:11,302 --> 00:02:16,880', 'Henry Dunant a dit : tous les blessés, les bleus et les blancs !')
29	2	('32', '00:02:44,430 --> 00:02:47,160', 'Diese Kirche wäre doch ein gutes Spital.')		('25', '00:02:44,636 --> 00:02:47,907', 'Ah, cette église ferait un très bon hôpital.')
30	2	('34', '00:02:53,019 --> 00:03:00,799', 'Wieder zu Hause schreibt Henry Dunant ein Buch über seine Erlebnisse und auch, dass allen verwundeten Soldaten geholfen werden soll.')		('27', '00:02:52,223 --> 00:02:59,113', 'De retour chez lui, il écrit un livre et propose que tous les soldats soient soignés équitablement.')
31	2	('35', '00:03:00,939 --> 00:03:05,160', 'Ärzte und Pfleger sollen bei ihrer Arbeit im Krieg nicht gestört werden.')		('28', '00:02:59,261 --> 00:03:03,015', 'Médecins et infirmiers ne doivent pas être gênés.')
32	2	('36', '00:03:05,304 --> 00:03:11,320', 'Damit man sie erkennt, sollen sie ein Zeichen tragen, das sie von den Soldaten unterscheidet.')		('29', '00:03:03,156 --> 00:03:06,320', 'Ils porteront un signe qui les distingue.')
33	2	('41', '00:03:31,135 --> 00:03:33,119', 'Das ist das Ende unserer Geschichte.')		('32', '00:03:31,149 --> 00:03:32,680', "Ainsi finit l'histoire.")
