filename_target	aligned_languages	aligned_languages_names	file_lines	de_source	it_source	fr_source
helveticus_0.tsv	3	de-it-fr	35	2022-01-11_die_pfahlbauer_in.srt	2021-12-27_serie_1_(1_26).srt	2020-02-27_saison_1_(1_26).srt
helveticus_1.tsv	3	de-it-fr	22	2022-01-11_die_überquerung_des.srt	2021-12-27_serie_1_(2_26).srt	2020-02-27_saison_1_(2_26).srt
helveticus_2.tsv	3	de-it-fr	29	2022-01-11_der_rütlischwur_in.srt	2021-12-27_serie_1_(3_26).srt	2020-03-09_saison_1_(3_26).srt
helveticus_3.tsv	3	de-it-fr	32	2022-01-11_die_legende_von_wilhelm.srt	2021-12-27_serie_1_(4_26).srt	2020-02-27_saison_1_(4_26).srt
helveticus_4.tsv	3	de-it-fr	32	2022-01-11_die_legende_von_arnold.srt	2021-12-27_serie_1_(5_26).srt	2020-02-27_saison_1_(5_26).srt
helveticus_5.tsv	3	de-it-fr	33	2022-01-11_der_schweizer_käse.srt	2021-12-27_serie_1_(6_26).srt	2020-02-27_saison_1_(6_26).srt
helveticus_6.tsv	3	de-it-fr	30	2022-01-12_niklaus_von_flüe.srt	2021-12-27_serie_1_(7_26).srt	2020-02-27_saison_1_(7_26).srt
helveticus_7.tsv	3	de-it-fr	38	2022-01-12_die_schlacht_bei.srt	2021-12-27_serie_1_(8_26).srt	2020-02-27_saison_1_(8_26).srt
helveticus_8.tsv	3	de-it-fr	42	2022-01-12_die_kappeler_milchsuppe.srt	2021-12-27_serie_1_(9_26).srt	2020-02-27_saison_1_(9_26).srt
helveticus_9.tsv	3	de-it-fr	36	2022-01-12_calvin_und_die.srt	2021-12-27_serie_1_(10_26).srt	2020-02-27_saison_1_(10_26).srt
helveticus_10.tsv	3	de-it-fr	54	2022-01-12_das_alphorn_in.srt	2021-12-27_serie_1_(11_26).srt	2020-02-27_saison_1_(11_26).srt
helveticus_11.tsv	3	de-it-fr	43	2022-01-12_die_«escalade_von.srt	2021-12-27_serie_1_(12_26).srt	2020-02-27_saison_1_(12_26).srt
helveticus_12.tsv	3	de-it-fr	37	2022-01-12_napoléon_und_die.srt	2021-12-27_serie_1_(13_26).srt	2020-02-27_saison_1_(13_26).srt
helveticus_13.tsv	3	de-it-fr	38	2022-01-12_barry_der_lawinenhund.srt	2021-12-27_serie_1_(14_26).srt	2020-02-27_saison_1_(14_26).srt
helveticus_14.tsv	3	de-it-fr	34	2022-01-12_henry_dunant_und.srt	2021-12-27_serie_1_(15_26).srt	2020-02-27_saison_1_(15_26).srt
helveticus_15.tsv	3	de-it-fr	36	2022-01-12_tourismus_und_wintersport.srt	2021-12-27_serie_1_(16_26).srt	2020-02-27_saison_1_(16_26).srt
helveticus_16.tsv	3	de-it-fr	34	2022-01-12_milchschokolade_und_milchpulver.srt	2021-12-27_serie_1_(17_26).srt	2020-03-09_saison_1_(17_26).srt
helveticus_17.tsv	3	de-it-fr	35	2022-01-12_johanna_spyri_und.srt	2021-12-27_serie_1_(18_26).srt	2020-02-27_saison_1_(18_26).srt
helveticus_18.tsv	3	de-it-fr	31	2022-01-12_das_schweizer_messer.srt	2021-12-27_serie_1_(19_26).srt	2020-03-09_saison_1_(19_26).srt
helveticus_19.tsv	3	de-it-fr	38	2022-01-12_doktor_bircher_und.srt	2021-12-27_serie_1_(20_26).srt	2020-03-09_saison_1_(20_26).srt
helveticus_20.tsv	3	de-it-fr	32	2022-01-12_albert_einstein_in.srt	2021-12-27_serie_1_(21_26).srt	2020-02-27_saison_1_(21_26).srt
helveticus_21.tsv	3	de-it-fr	36	2022-01-12_friedrich_dürrenmatt_in.srt	2021-12-27_serie_1_(22_26).srt	2020-02-27_saison_1_(22_26).srt
helveticus_22.tsv	3	de-it-fr	41	2022-01-12_alberto_giacometti_in.srt	2021-12-27_serie_1_(23_26).srt	2020-02-27_saison_1_(23_26).srt
helveticus_23.tsv	3	de-it-fr	38	2022-01-12_das_frauenstimmrecht_in.srt	2021-12-27_serie_1_(24_26).srt	2020-02-27_saison_1_(24_26).srt
helveticus_25.tsv	3	de-it-fr	35	2022-01-12_bertrand_piccard_in.srt	2021-12-27_serie_1_(26_26).srt	2020-03-09_saison_1_(26_26).srt
helveticus_26.tsv	3	de-it-fr	42	2022-02-02_jean-jacques_rousseau_in.srt	2022-01-03_serie_2_(1_26).srt	2021-10-28_saison_2_(1_26).srt
helveticus_27.tsv	3	de-it-fr	45	2022-02-02_le_corbusier_in.srt	2022-01-03_serie_2_(2_26).srt	2021-10-28_saison_2_(2_26).srt
helveticus_28.tsv	3	de-it-fr	39	2022-02-02_victor_frankenstein_in.srt	2022-01-03_serie_2_(3_26).srt	2021-10-28_saison_2_(3_26).srt
helveticus_29.tsv	3	de-it-fr	38	2022-02-02_die_ringkuhkämpfe_in.srt	2022-01-03_serie_2_(4_26).srt	2021-10-28_saison_2_(4_26).srt
helveticus_30.tsv	3	de-it-fr	44	2022-02-02_gottlieb_duttweiler_und.srt	2022-01-03_serie_2_(5_26).srt	2021-11-10_saison_2_(5_26).srt
helveticus_31.tsv	3	de-it-fr	42	2022-02-02_georges_de_mestral.srt	2022-01-03_serie_2_(6_26).srt	2021-11-10_saison_2_(6_26).srt
helveticus_32.tsv	3	de-it-fr	37	2022-02-02_der_schweizerische_nationalpark.srt	2022-01-03_serie_2_(7_26).srt	2022-03-08_saison_2_(7_26).srt
helveticus_33.tsv	3	de-it-fr	42	2022-02-02_sophie_taeuber-arp_in.srt	2022-01-03_serie_2_(8_26).srt	2021-11-17_saison_2_(8_26).srt
helveticus_34.tsv	3	de-it-fr	40	2022-02-02_sonderbundskrieg_in_gebärdensprache.srt	2022-01-03_serie_2_(9_26).srt	2022-03-08_saison_2_(9_26).srt
helveticus_35.tsv	3	de-it-fr	34	2022-02-02_paracelsus_in_gebärdensprache.srt	2022-01-03_serie_2_(10_26).srt	2022-03-08_saison_2_(10_26).srt
helveticus_36.tsv	3	de-it-fr	40	2022-02-02_angelika_kauffmann_in.srt	2022-01-03_serie_2_(11_26).srt	2022-03-30_saison_2_(11_26).srt
helveticus_37.tsv	2	de-it	23	2022-02-02_arnold_böcklin_und.srt	2022-01-03_serie_2_(12_26).srt	
helveticus_38.tsv	3	de-it-fr	37	2022-02-02_roger_federer_in.srt	2022-01-03_serie_2_(13_26).srt	2022-03-23_saison_2_(13_26).srt
helveticus_39.tsv	3	de-it-fr	39	2022-02-02_anne-marie_schwarzenbach_und.srt	2022-01-03_serie_2_(25_26).srt	2022-05-17_saison_2_(14_26).srt
helveticus_40.tsv	3	de-it-fr	39	2022-02-02_vincenzo_vela_in.srt	2022-01-03_serie_2_(19_26).srt	2022-03-30_saison_2_(15_26).srt
helveticus_41.tsv	3	de-it-fr	36	2022-02-02_der_pilatus_in.srt	2022-01-03_serie_2_(20_26).srt	2022-04-26_saison_2_(16_26).srt
helveticus_42.tsv	3	de-it-fr	27	2022-02-02_die_rettung_von.srt	2022-01-03_serie_2_(15_26).srt	2022-04-26_saison_2_(17_26).srt
helveticus_43.tsv	3	de-it-fr	35	2022-02-02_der_monte_san.srt	2022-01-03_serie_2_(14_26).srt	2022-06-14_saison_2_(18_26).srt
helveticus_44.tsv	3	de-it-fr	35	2022-02-02_berta_von_alamannien.srt	2022-01-03_serie_2_(16_26).srt	2022-05-17_saison_2_(19_26).srt
helveticus_45.tsv	3	de-it-fr	37	2022-02-02_die_schweizer_banken.srt	2022-01-03_serie_2_(17_26).srt	2023-06-30_saison_2_(20_26).srt
helveticus_46.tsv	2	de-it	18	2022-02-02_die_zweite_schlacht.srt	2022-01-03_serie_2_(18_26).srt	
helveticus_47.tsv	3	de-it-fr	42	2022-02-02_carl_gustav_jung.srt	2022-01-03_serie_2_(21_26).srt	2023-06-30_saison_2_(22_26).srt
helveticus_48.tsv	3	de-it-fr	36	2022-02-02_arthur_honegger_in.srt	2022-01-03_serie_2_(22_26).srt	2022-06-14_saison_2_(23_26).srt
helveticus_49.tsv	3	de-it-fr	28	2022-02-02_jean_piaget_in.srt	2022-01-03_serie_2_(23_26).srt	2022-06-17_saison_2_(24_26).srt
helveticus_50.tsv	3	de-it-fr	42	2022-02-02_ramuz_und_farinet.srt	2022-01-03_serie_2_(24_26).srt	2022-06-17_saison_2_(25_26).srt
helveticus_51.tsv	3	de-it-fr	40	2022-02-02_die_grande_dixence.srt	2022-01-03_serie_2_(26_26).srt	2022-06-17_saison_2_(26_26).srt
